bedtime_hour,wakeup_hour,sleep_duration,screen_time_minutes,caffeine_cups,last_caffeine_hour,stress_level,physical_activity_minutes,naps,nap_duration,sleep_score,sleep_quality
22.49816047538945,7.301017701029117,8.277226245720831,150.92119425632103,1,14,3,0.0,1,33,70,Average
23.60355389179541,4.82920020790381,6.908635890043886,99.32380956238976,1,16,1,42.35989224687,1,31,76,Average
21.02826522087887,2.1205149210445313,4.573073021932773,114.13764900152526,3,14,4,91.18976062075586,0,0,48,Poor
0.439761626945284,8.160991781296403,7.9730796262555215,78.26403414565354,0,13,2,39.40322861280502,0,0,86,Good
21.063865008880857,2.987440311369454,8.435031161418006,45.95608974600666,3,19,3,35.41099092336087,1,13,70,Average
22.246844304357644,5.3271163890688875,7.967218695907348,36.87255804406278,1,13,2,43.93722471738247,1,45,84,Average
23.391599915244342,8.079096855336807,7.361222061134112,77.95585217642845,4,13,5,49.21632600297275,1,54,56,Poor
21.56369689989905,5.77248482291521,7.603108165956978,62.92311998776165,2,14,1,52.23352577681736,1,44,82,Average
0.1607021621248208,7.584542061248866,7.7539044147912195,113.88178584716303,3,18,1,9.836934209050344,1,32,68,Poor
23.675365010654428,7.339054437124414,8.819576370941785,27.033788522237813,2,12,3,52.759058864497796,0,0,87,Good
0.8868483815564154,9.28250367862075,6.37948459090554,121.36832750615753,2,20,2,41.74094136476342,1,41,56,Poor
23.78206434570451,5.339390163328012,7.141191179440959,124.90820391962069,4,15,5,85.74451965914584,1,16,55,Poor
22.15900581165507,3.8038909606710902,8.59848254124249,103.15004438638738,3,15,3,24.519141385069922,0,0,74,Average
22.272013899887455,3.7122215979981625,7.068266225649615,74.3156738747137,3,20,3,10.729701037357628,0,0,56,Poor
21.658623412571767,4.794981090073534,9.834138737384142,83.86654169935439,1,19,3,44.2987766018951,0,0,86,Good
22.615344684232163,3.8749136726680895,5.073222080165118,56.15931934177176,1,14,1,23.550212624398753,0,0,66,Poor
